human_uniprot	arabidopsis_uniprot
P19224	O48676
P19224	Q9LTH3
Q9HAW7	Q9LR44
Q9HAW7	Q9ZQ97
Q9HAW7	Q9LTH2
Q9HAW7	Q9ZQ96
Q9HAW7	O48676
Q9HAW7	Q9LTH3
P22309	Q9LR44
P22309	Q9ZQ97
P22309	Q9LTH2
P22309	Q9ZQ96
P22309	O48676
P22309	Q9LTH3
Q5JQF8	Q39061
O00161	Q9LMG8
Q93088	Q9SDL7
O95684	Q9FQ25
P46779	O82204
O95807	Q949Z8
Q9NX55	Q9C901
Q8NBA8	F4IL05
Q96KN3	Q84JS6
Q96KN3	P46639
Q96KN3	P46640
O14770	Q84JS6
O14770	P46639
O14770	P46640
Q99687	Q84JS6
Q99687	P46639
Q99687	P46640
Q6ZNI0	Q9LE60
Q6ZNI0	Q6DBE8
Q6ZNI0	Q9C9A1
Q6ZNI0	Q9FLD7
Q8N0V5	Q9LE60
Q8N0V5	Q6DBE8
Q8N0V5	Q9C9A1
Q8N0V5	Q9FLD7
Q02742	Q9LE60
Q02742	Q6DBE8
Q02742	Q9C9A1
Q02742	Q9FLD7
Q8TCG2	Q9FNF8
P78318	Q8LDQ4
Q9BVW5	A0A1I9LR82
Q19AV6	Q147J4
P51959	Q9SN11
P51959	Q9ZR04
Q14094	Q9SN11
Q14094	Q9ZR04
Q9UNK0	Q94KK7
Q9Y244	Q9FFV7
P05455	Q0V7U7
Q8N7E2	Q9LFC0
Q8N4Q1	Q8GYJ4
O60783	Q9SMX4
P05090	Q9FGT8
Q9HCU5	Q9FGP3
Q9BQ15	Q9FFP5
P29084	Q9SUP3
Q9HAF1	Q93VF4
Q9UJJ7	Q5M721
Q9P1U0	Q9LU97
Q9NVH2	O49433
Q9H5V9	Q8GWQ6
O14737	F4I354
P54105	Q9LVA7
Q6ICG6	A0A1P8APQ0
Q86UT8	F4JRR5
Q8N2U0	Q9SI36
Q96MF7	Q8GYH7
Q9UI09	Q9M9M9
Q9NVA1	Q500Z1
Q96G61	Q8VY81
O95989	Q8VY81
Q9UQ10	Q9ASQ9
Q9H6K4	Q9SGP9
Q86W33	Q94AH1
Q9Y3D6	Q94CK3
Q8TBF5	F4KIV8
O75381	Q9FXT6
Q96F10	Q9ZV06
P51970	Q9SQT4
Q14061	Q9LJQ9
Q8NFV4	Q9T0G1
Q5UAW9	O04714
Q6GMV2	Q5PP37
Q9NYP3	F4JE17
Q9Y3E2	Q682I1
P51398	Q8W4K2
Q9P016	Q9ZVK5
Q969E8	Q8L9R4
Q9H3K6	Q9FIC3
Q9UI14	Q9LYQ4
P62341	Q8W1E5
Q9Y3D7	Q93VV9
Q2M3R5	Q8S8A2
P62072	Q9ZW33
Q9Y5J7	Q9XGX9
Q8N9N8	F4II37
Q8IZL8	Q0WV78
P40424	Q8S897
Q5HYI7	O64471
O75431	O64471
Q15005	P58684
Q9Y421	Q9FZ43
Q9BRX5	Q6NNH6
Q9UDW3	F4K1A9
Q9UKR5	O80594
P61165	F4JNQ9
P53999	O65154
Q96C01	Q8RV68
Q9Y375	Q9LQI7
Q9BRA2	Q9FMN4
Q86TB9	Q0WPK4
P62995	Q9LHP2
O15155	Q9M2J9
P17568	Q9SKC9
Q96I13	B5X0N4
Q8NBP5	Q8RWN2
Q8NBP5	Q94BZ1
Q14728	Q8RWN2
Q14728	Q94BZ1
O95214	Q9AST6
Q08AG7	Q9M0N8
Q9NWU5	Q8LDU0
A6NGC4	Q9XHZ7
Q9BVM4	Q9FIQ3
P56556	Q9LHI0
Q9GZU8	Q5XV94
O00488	Q9SJL4
Q96GA3	Q9SN19
Q9UH77	Q9FPW6
Q9NZF1	Q9LQU2
Q9NZF1	Q9LS45
Q9BYD5	Q9LQU2
Q9BYD5	Q9LS45
P49638	Q9LM14
O14925	Q9S837
O15511	Q9M117
Q5UCC4	O80798
Q9H9P5	Q9XEE6
Q8IYS1	O04373
Q13492	Q9ZVN6
Q5BJF2	Q9ZV66
Q15018	Q8RY09
P14927	Q9SUU5
P30536	O82245
Q8N8R5	O22166
Q9BQD3	F4J1T2
Q8WUW1	Q94JY4
Q13901	Q93VA9
Q9Y2B0	Q680L3
Q8N4V1	Q2HIM5
P43308	Q94BY3
Q9P0S9	Q9LJU6
Q05D60	Q9ZQC5
P14174	F4KAK0
Q9NZ43	Q6NKR3
Q3MHD2	Q8L466
Q9Y284	Q9SD88
Q13426	Q682V0
P0CG13	F4KEU4
Q9HD34	Q8L9E3
Q9BT73	Q9LER5
Q15649	A0A1P8B7B4
P08263	Q96324
Q8N0X7	F4JNX2
O60220	Q9XGY4
Q6ZYL4	Q6NNM0
Q9Y5L4	Q9XH48
Q9NPA8	Q6NQ54
Q86WW8	Q8GWM1
Q9Y3C5	Q9C919
Q6PD74	Q8VZ15
Q495X7	F4ICB5
O15431	Q9STG2
P09497	O04209
P30043	Q8H124
Q92623	Q9C650
Q8N6R1	Q84K46
Q3B7J2	Q8RWP0
Q9NRN7	Q8VYK1
P14621	Q9LZF2
Q9NQ48	Q9SHJ6
Q969H6	Q6AWV1
Q6P3W2	O82623
Q8WY98	Q94AU5
Q9BYN0	Q8GY89
Q2VPB7	Q9LT22
Q9Y225	B3H6J7
Q96LT4	Q9M325
Q9H0U3	Q9SYB5
Q9BSB4	F4K265
Q96RR1	B5X582
Q9HBM1	Q93VK9
Q86UD3	Q9LPR9
Q86UD3	Q9LS14
Q9P0N8	Q9LPR9
Q9P0N8	Q9LS14
O15229	Q9ZQN9
Q9H7C4	Q9FWW5
O75915	Q8W115
Q8TDR0	Q9SIG8
Q96EA4	Q9M2W0
Q7Z2W9	P51412
Q8IXM3	Q9LUJ9
P56277	F4I2K8
Q9NPC3	F4HRI2
A0PJK1	F4KD71
O75575	Q7XJ61
Q96BZ8	A0A1P8B457
O75947	Q9FT52
Q53FT3	Q9C8D7
Q63HM9	Q9SW43
O00244	O82089
O00244	Q94BT9
Q9H777	Q8L633
Q9BUE0	Q9SJZ6
Q96BW1	Q9M336
Q8N183	Q8RXY1
P32320	Q9S847
Q13503	C0LU16
Q9GZS1	Q9LVK6
Q9Y3B9	F4K087
Q96SJ8	Q9C5W7
Q96SJ8	F4I214
P19397	Q9C5W7
P19397	F4I214
P31269	P46604
P31269	P46603
P17482	P46604
P17482	P46603
Q9H310	Q9SVT8
Q8NHQ8	F4KEW8
Q96LB4	O82628
O60921	Q709F6
Q9P0M6	Q8H114
Q96D70	F4I0U6
Q16629	Q1PDV2
Q9UBK9	F4HPA5
Q5JS54	Q8VYQ0
Q92733	O64560
Q9NRP2	Q0WSU0
Q96T54	Q8LBL1
Q96T54	Q9FWX6
Q96T55	Q8LBL1
Q96T55	Q9FWX6
Q9NRY6	Q9SI32
Q8NFU3	Q8RUD6
Q00059	Q9LTT3
O75192	Q9STY0
P12074	Q9T070
Q04837	Q9LII1
Q9Y5U9	Q8LG42
A8MT69	Q8L7N3
Q9BYD2	Q9LVU5
Q9UJQ7	Q9FMN0
Q14657	Q8GWD7
O15432	Q93VM8
P78367	P46600
P78367	P46601
Q9UIW0	P46600
Q9UIW0	P46601
Q6ZP65	Q1PE31
P07919	Q0WWE3
Q14442	Q8VY53
Q9BRP8	Q9LPZ4
Q8N1S5	Q940Q3
O43711	Q9LZR0
P51572	Q93XZ7
Q8TAV4	Q9SRH6
Q9H7F4	A0A1P8AX05
Q5SQH8	Q9SA31
Q5TA50	Q8L7U7
Q9BQ50	Q682U6
Q9NRG0	Q9FHS0
P53567	Q8W191
Q69YG0	Q3C1C7
Q71F23	A0A1P8BGF0
A6NFY7	Q8VZU1
O60479	Q05466
P78317	Q6AWX4
Q9BXD5	Q9FVC8
Q86UA6	F4JRF6
Q96FI4	O80358
L0R819	Q8LD83
O00258	Q1H5D2
P02489	Q9XIE3
Q9H3U5	Q9LYK2
O76064	Q8L775
Q9NQF3	Q9LK01
P03901	A0A2P2CLH7
A6NFU8	Q9C5G6
P84101	Q94K36
Q15185	Q6ID70
Q9H300	F4ICF4
Q9UKY3	Q9SMM9
Q14469	P0CB25
Q9NXK8	Q9M0U7
Q99962	Q8L7W0
Q8N531	Q9M0U6
Q8NEE6	Q9S9X4
Q96PE7	Q9SKZ0
Q9H0U6	Q9LJX6
Q9Y3D5	P56807
Q9NU23	Q9LQR2
C9JCN9	Q8GW48
Q96CU9	Q9FN21
Q9H3J6	Q9C875
Q9BW61	Q9FFS4
O14561	O04652
P19961	Q8VZ56
Q569K6	F4K4W1
Q9Y2R5	Q9XIA6
Q8NHE4	Q9SZ13
Q5TGZ0	Q8GWC7
Q9P2X0	Q8LEQ4
Q9NVS9	Q9ZPY1
P05787	F4K210
Q96P09	Q66GR4
P0C2Y1	Q5XET8
O43889	Q9SL54
Q7RTS1	Q9M1K1
P51580	Q0WP12
Q99497	Q9M8R4
Q9NS69	Q9FNC9
P07305	P94109
Q9UGY1	Q8W494
Q8WZ73	Q9FHE4
Q9UH92	Q9FMB6
Q9UH92	Q93VJ4
Q8N4Y2	Q9FH51
O14813	O81788
Q15527	A8MRG2
Q15370	Q8L8S0
